,col_name,mutual_info
0,V1,0.002126661345919767
1,V2,0.0032280496386691837
2,V3,0.00495192387987986
3,V4,0.0049759285577390955
4,V5,0.002388941744006723
5,V6,0.0023877964471337165
6,V7,0.003950652983924607
7,V8,0.0018984186387390745
8,V9,0.004276691243076836
9,V10,0.007530360334661479
10,V11,0.006831198639183911
11,V12,0.007601234689920022
12,V13,0.0004084747653891885
13,V14,0.008136137025235302
14,V15,0.000314833474767795
15,V16,0.006144403260892828
16,V17,0.008258065520267088
17,V18,0.004316925188113996
18,V19,0.0014724512954878977
19,V20,0.0012066591728019382
20,V21,0.002452178490999213
21,V22,0.00035318634041803243
22,V23,0.0007615205277016202
23,V24,0.0006419884233297424
24,V25,0.0004996071080781705
25,V26,0.0004997507092333597
26,V27,0.0024440724982736084
27,V28,0.0018713214852924542
28,Amount,0.0015525595258650826
