episode,f1
0,46.4791
1,43.1466
2,46.4791
3,52.6243
4,52.6243
5,52.6243
6,52.6243
7,52.6243
8,52.6243
9,59.3889
10,73.5854
11,82.4019
12,82.5954
13,82.5954
14,82.5954
15,83.8094
16,83.8094
17,83.8094
18,91.9446
19,92.0555
20,91.9446
21,92.5409
22,91.8305
23,91.9446
24,92.0555
25,91.9446
26,91.9446
27,93.6514
28,93.6514
29,94.5852
30,94.5852
31,92.2684
32,93.6514
33,93.6514
34,94.5112
35,94.5112
36,94.5112
37,93.5609
38,94.5112
39,94.5112
40,94.5112
41,95.1307
42,95.1307
43,95.1307
44,94.128
45,95.1307
46,94.5112
47,95.1307
48,95.1307
49,95.1307
50,93.8251
51,95.1307
52,95.1307
53,95.1307
54,95.1307
55,94.046
56,95.1307
57,95.1307
58,95.1307
59,95.1307
60,95.1307
61,95.1307
62,95.1307
63,95.1307
64,94.128
65,95.1307
66,95.1307
67,95.1307
68,95.1307
69,94.5852
70,92.645
71,95.1307
72,94.046
73,94.4351
74,95.1307
75,95.1307
76,95.1307
77,94.5112
78,94.5112
79,95.1307
80,95.1307
81,93.8251
82,95.1307
83,95.1307
84,95.1307
85,95.1307
86,95.1307
87,95.1307
88,93.139
89,95.1307
90,95.1307
91,95.1307
92,95.1307
93,95.1307
94,95.1307
95,95.1307
96,95.1307
97,94.5852
98,95.1307
99,95.1307
100,94.5852
101,94.8188
102,95.1307
103,95.1307
104,95.1307
105,95.1307
106,95.1307
107,95.1307
108,95.1307
109,95.1307
110,95.1307
111,94.8188
112,94.3609
113,95.1307
114,95.1307
115,95.1307
116,95.1307
117,95.1307
118,95.1307
119,95.1307
120,95.1307
121,95.1307
122,95.1307
123,95.1307
124,95.1307
125,95.1307
126,94.8188
127,95.1307
128,94.2077
129,95.1307
130,94.8188
131,95.1307
132,92.645
133,95.1307
134,94.5112
135,95.1307
136,93.139
137,92.645
138,95.1307
139,95.1307
140,94.3609
141,95.1307
142,95.1307
143,95.1307
144,95.1307
145,95.1307
146,94.5112
147,94.5112
148,95.1307
149,95.1307
150,95.1307
151,94.046
152,95.1307
153,93.7394
154,95.1307
155,95.1307
156,95.1307
157,95.1307
158,95.1307
159,95.1307
160,95.1307
161,95.1307
162,95.1307
163,95.1307
164,95.1307
165,93.8251
166,95.1307
167,94.8188
168,95.1307
169,94.046
170,95.1307
171,94.046
172,95.1307
173,95.1307
174,95.1307
175,94.8188
176,94.2077
177,95.1307
178,95.1307
179,92.645
180,95.1307
181,93.613
182,95.1307
183,95.1307
184,95.1307
185,94.5112
186,95.1307
187,94.3609
188,95.1307
189,95.1307
190,95.1307
191,94.046
192,95.1307
193,95.1307
194,95.1307
195,95.1307
196,95.1307
197,95.1307
198,94.5112
199,95.1307
200,94.5112
201,94.5112
202,95.1307
203,95.1307
204,92.645
205,95.1307
206,95.1307
207,95.1307
208,95.1307
209,95.1307
210,95.1307
211,95.1307
212,95.1307
213,95.1307
214,95.1307
215,94.5852
216,95.1307
217,95.1307
218,95.1307
219,95.5096
220,95.1307
221,95.1307
222,94.8188
223,95.1307
224,95.1307
225,95.1307
226,94.128
227,95.1307
228,95.1307
229,95.1307
230,95.1307
231,94.4351
232,95.1307
233,95.1307
234,94.4351
235,95.1307
236,95.1307
237,95.1307
238,95.1307
239,95.1307
240,95.1307
241,95.1307
242,94.046
243,95.1307
244,94.128
245,92.645
246,95.1307
247,94.046
248,95.1307
249,94.3609
250,95.1307
251,95.1307
252,95.1307
253,95.1307
254,95.1307
255,95.1307
256,94.5112
257,95.1307
258,95.1307
259,95.1307
260,94.4351
261,95.1307
262,95.1307
263,95.1307
264,94.046
265,95.1307
266,94.128
267,92.645
268,95.1307
269,94.2077
270,95.1307
271,95.1307
272,95.1307
273,94.2077
274,95.1307
275,95.1307
276,95.1307
277,95.1307
278,95.1307
279,95.1307
280,95.1307
281,95.1307
282,95.1307
283,95.1307
284,95.1307
285,94.8188
286,95.1307
287,95.1307
288,95.1307
289,95.1307
290,95.1307
291,95.1307
292,95.1307
293,95.1307
294,95.1307
295,95.1307
296,95.1307
297,95.1307
298,95.1307
299,95.1307
300,95.1307
301,95.1307
302,95.1307
303,95.1307
304,95.1307
305,95.1307
306,95.1307
307,95.1307
308,95.1307
309,95.1307
310,95.1307
311,94.4351
312,95.1307
313,95.1307
314,95.1307
315,95.1307
316,95.1307
317,95.1307
318,95.1307
319,95.1307
320,95.1307
321,95.1307
322,95.1307
323,95.1307
324,95.1307
325,95.1307
326,95.1307
327,95.1307
328,95.1307
329,95.1307
330,95.1307
331,95.1307
332,95.1307
333,95.1307
334,95.1307
335,95.1307
336,95.1307
337,95.1307
338,95.1307
339,95.1307
340,95.1307
341,95.1307
342,95.1307
343,95.1307
344,95.1307
345,95.1307
346,95.1307
347,95.1307
348,95.1307
349,95.1307
350,94.8188
351,95.1307
352,95.1307
353,95.1307
354,95.1307
355,95.1307
356,95.1307
357,95.1307
358,95.1307
359,95.1307
360,95.1307
361,95.1307
362,95.1307
363,94.128
364,95.1307
365,95.1307
366,95.1307
367,95.1307
368,95.1307
369,95.1307
370,95.1307
371,95.1307
372,95.1307
373,95.1307
374,95.1307
375,95.1307
376,95.1307
377,95.1307
378,95.1307
379,95.1307
380,95.1307
381,95.1307
382,95.1307
383,95.1307
384,95.1307
385,95.1307
386,95.1307
387,95.1307
388,95.1307
389,95.1307
390,95.1307
391,95.1307
392,95.1307
393,95.1307
394,95.1307
395,95.1307
396,95.1307
397,95.1307
398,95.1307
399,95.1307
400,95.1307
401,95.1307
402,94.4351
403,95.1307
404,95.1307
405,95.1307
406,95.1307
407,95.1307
408,95.1307
409,95.1307
410,95.1307
411,95.1307
412,95.1307
413,95.1307
414,95.1307
415,95.1307
416,95.1307
417,95.1307
418,95.1307
419,95.1307
420,95.1307
421,95.1307
422,95.1307
423,95.1307
424,95.1307
425,95.1307
426,95.1307
427,95.1307
428,95.1307
429,95.1307
430,95.1307
431,95.1307
432,95.1307
433,95.1307
434,95.1307
435,95.1307
436,95.1307
437,95.1307
438,95.1307
439,95.1307
440,95.1307
441,95.1307
442,94.3609
443,95.1307
444,95.1307
445,95.1307
446,95.1307
447,94.046
448,95.1307
449,95.1307
450,95.1307
451,95.1307
452,95.1307
453,95.1307
454,95.1307
455,95.1307
456,95.1307
457,95.1307
458,95.1307
459,94.5852
460,95.1307
461,95.1307
462,95.1307
463,95.1307
464,95.1307
465,95.1307
466,95.1307
467,95.1307
468,95.1307
469,95.1307
470,95.1307
471,94.8188
472,95.1307
473,95.1307
474,95.1307
475,95.1307
476,95.1307
477,95.1307
478,92.645
479,95.1307
480,95.1307
481,95.1307
482,95.1307
483,95.1307
484,95.1307
485,95.1307
486,95.1307
487,95.1307
488,94.7465
489,95.1307
490,95.1307
491,95.1307
492,95.1307
493,95.1307
494,95.1307
495,95.1307
496,95.1307
497,95.1307
498,95.1307
499,95.1307
